query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	9.50129662145446e-09	4293	384	186	0.484375	0.0433263452131377	GO:0032501	GO:BP	multicellular organismal process	13933	7116	GO:0008150
query_1	TRUE	1.75460441888745e-07	3963	384	172	0.447916666666667	0.043401463537724	GO:0007154	GO:BP	cell communication	13933	2584	GO:0009987
query_1	TRUE	3.35956916926064e-07	3959	384	171	0.4453125	0.0431927254357161	GO:0023052	GO:BP	signaling	13933	6205	GO:0050789
query_1	TRUE	1.37425364799753e-05	3677	384	157	0.408854166666667	0.0426978515093826	GO:0007165	GO:BP	signal transduction	13933	2595	GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716
query_1	TRUE	2.80290695725582e-05	1007	384	63	0.1640625	0.0625620655412115	GO:0003008	GO:BP	system process	13933	1410	GO:0032501
query_1	TRUE	3.75762691212453e-05	1292	384	74	0.192708333333333	0.0572755417956656	GO:0009888	GO:BP	tissue development	13933	3587	GO:0048856
query_1	TRUE	5.93138286255962e-05	377	384	34	0.0885416666666667	0.0901856763925729	GO:0007186	GO:BP	G protein-coupled receptor signaling pathway	13933	2609	GO:0007165
query_1	TRUE	6.39297292300773e-05	10	384	7	0.0182291666666667	0.7	GO:0072677	GO:BP	eosinophil migration	13933	16315	GO:0097530
query_1	TRUE	7.33040575988212e-05	1909	384	96	0.25	0.0502881089575694	GO:0048513	GO:BP	animal organ development	13933	11949	GO:0048856
query_1	TRUE	9.00718939366968e-05	2796	384	126	0.328125	0.0450643776824034	GO:0030154	GO:BP	cell differentiation	13933	6252	GO:0048869
query_1	TRUE	9.21767593258016e-05	2797	384	126	0.328125	0.045048265999285	GO:0048869	GO:BP	cellular developmental process	13933	12259	GO:0009987;GO:0032502
query_1	TRUE	0.000108577976975013	3808	384	158	0.411458333333333	0.0414915966386555	GO:0048856	GO:BP	anatomical structure development	13933	12247	GO:0032502
query_1	TRUE	0.000267469848271535	917	384	57	0.1484375	0.0621592148309706	GO:0007155	GO:BP	cell adhesion	13933	2585	GO:0009987
query_1	TRUE	0.000459657317169473	2625	384	118	0.307291666666667	0.044952380952381	GO:0048731	GO:BP	system development	13933	12138	GO:0007275;GO:0048856
query_1	TRUE	0.000514091642924357	1896	384	93	0.2421875	0.0490506329113924	GO:0051239	GO:BP	regulation of multicellular organismal process	13933	12691	GO:0032501;GO:0050789
query_1	TRUE	0.000563414087235581	8	384	6	0.015625	0.75	GO:0048245	GO:BP	eosinophil chemotaxis	13933	11758	GO:0071621;GO:0072677
query_1	TRUE	0.000652998245190525	1820	384	90	0.234375	0.0494505494505494	GO:0007166	GO:BP	cell surface receptor signaling pathway	13933	2596	GO:0007165
query_1	TRUE	0.000869057372608119	777	384	50	0.130208333333333	0.0643500643500644	GO:0035295	GO:BP	tube development	13933	8374	GO:0007275;GO:0048856
query_1	TRUE	0.00176679860499722	136	384	18	0.046875	0.132352941176471	GO:0097529	GO:BP	myeloid leukocyte migration	13933	17462	GO:0050900
query_1	TRUE	0.00186976715694162	1775	384	87	0.2265625	0.0490140845070423	GO:0009653	GO:BP	anatomical structure morphogenesis	13933	3414	GO:0032502;GO:0048856
query_1	TRUE	0.00229130567578221	4165	384	164	0.427083333333333	0.03937575030012	GO:0032502	GO:BP	developmental process	13933	7117	GO:0008150
query_1	TRUE	0.00261202048731972	780	384	49	0.127604166666667	0.0628205128205128	GO:0060429	GO:BP	epithelium development	13933	13632	GO:0009888
query_1	TRUE	0.00289367942990631	4681	384	179	0.466145833333333	0.0382396923734245	GO:0051716	GO:BP	cellular response to stimulus	13933	12983	GO:0009987;GO:0050896
query_1	TRUE	0.0052650163484387	101	384	15	0.0390625	0.148514851485149	GO:0007188	GO:BP	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	13933	2611	GO:0007186
query_1	TRUE	0.00563399163616329	4283	384	166	0.432291666666667	0.0387578799906607	GO:0048518	GO:BP	positive regulation of biological process	13933	11952	GO:0008150;GO:0050789
